year,n_days,n_bull,n_bear,n_transition,n_crisis,uncond_mean_20d,strategy_year_ret,spy_year_ret,delta_pp
2017,251,0,0,251,0,0.017976,0.105388,0.216459,-11.11
2018,251,0,34,214,3,-0.003234,-0.058614,-0.051486,-0.71
2019,252,35,15,202,0,0.020513,0.177767,0.323134,-14.54
2020,253,45,80,89,39,0.016827,0.044438,0.156392,-11.2
2021,252,17,0,235,0,0.016428,0.146403,0.312611,-16.62
2022,251,10,35,203,3,-0.008402,-0.08613,-0.189889,10.38
2023,250,0,0,250,0,0.017369,0.123772,0.260001,-13.62
2024,252,0,222,29,1,0.018935,0.115627,0.252807,-13.72
2025,250,1,18,226,5,0.01369,0.032036,0.182253,-15.02
2026,107,0,0,107,0,0.015015,0.024656,0.032796,-0.81
